"";"ID";"Baum-Nr";"Fall";"Fallnummer";"Z_Oeffnung";"Z_laeng";"Z_breit";"DM_Spitz";"DM_max";"DM_mit";"Woel_aufg";"Woel_flach";"Verh_LB";"Asym";"Apo_L";"Apo_B";"Apo_S";"Entf";"Verh_LABA";"Verh_LASA";"Stiel_L";"Baumseite";"Fallgruppe";"Bart";"Region";"Population";"Hakigkeit"
"1";"B_Pmm_1.1";55;"B./P.m.ssp.m. 1";"B./P.m. 1";"o";29,91;35,01;2,4;37,88;20,14;51;40;0,854327335047129;1,275;5,16;4,78;3,41;5,78;1,07949790794979;1,51319648093842;6,06;"s";"B./P.m.ssp.m.";"P.m.ssp.m.";"B";"P.m.ssp.m.";1,12015503875969
"2";"B_Pmm_1.2";55;"B./P.m.ssp.m. 1";"B./P.m. 1";"o";32,64;32,38;2,16;33,74;17,95;58;46;1,00802964793082;1,26086956521739;6,82;6,43;2,87;6,51;1,0606531881804;2,37630662020906;4,03;"s";"B./P.m.ssp.m.";"P.m.ssp.m.";"B";"P.m.ssp.m.";0,954545454545454
"3";"B_Pmm_1.3";55;"B./P.m.ssp.m. 1";"B./P.m. 1";"o";31,99;33,15;1,41;35,96;18,685;59;46;0,96500754147813;1,28260869565217;5,77;6,76;3,17;6,18;0,853550295857988;1,82018927444795;6,18;"s";"B./P.m.ssp.m.";"P.m.ssp.m.";"B";"P.m.ssp.m.";1,07105719237435
"4";"B_Pmm_1.4";55;"B./P.m.ssp.m. 1";"B./P.m. 1";"o";31,44;29,12;2,16;30,67;16,415;46;39;1,07967032967033;1,17948717948718;5,78;6,61;2,66;5,49;0,874432677760968;2,17293233082707;2,52;"s";"B./P.m.ssp.m.";"P.m.ssp.m.";"B";"P.m.ssp.m.";0,949826989619377
"5";"B_Pmm_1.5";55;"B./P.m.ssp.m. 1";"B./P.m. 1";"o";40,65;37,53;2,57;38,91;20,74;61;58;1,08313349320544;1,05172413793103;5,54;7,97;2,74;4,76;0,695106649937265;2,02189781021898;5,39;"n";"B./P.m.ssp.m.";"P.m.ssp.m.";"B";"P.m.ssp.m.";0,859205776173285
"6";"B_Pmm_1.6";55;"B./P.m.ssp.m. 1";"B./P.m. 1";"o";43,86;40,13;1,98;41,92;21,95;66;63;1,0929479192624;1,04761904761905;5,18;6,99;3,22;8,17;0,741058655221745;1,60869565217391;3,16;"n";"B./P.m.ssp.m.";"P.m.ssp.m.";"B";"P.m.ssp.m.";1,57722007722008
"7";"B_Pmm_1.7";55;"B./P.m.ssp.m. 1";"B./P.m. 1";"o";39,07;37,17;2,57;38,95;20,76;61;53;1,05111649179446;1,15094339622642;5,12;6,14;2,99;4,08;0,833876221498371;1,7123745819398;4,58;"n";"B./P.m.ssp.m.";"P.m.ssp.m.";"B";"P.m.ssp.m.";0,796875
"8";"B_Pmm_1.8";55;"B./P.m.ssp.m. 1";"B./P.m. 1";"o";38,21;40,77;1,82;41,58;21,7;68;56;0,937208731910719;1,21428571428571;5,47;6,44;3,55;4,21;0,849378881987577;1,54084507042254;3,09;"n";"B./P.m.ssp.m.";"P.m.ssp.m.";"B";"P.m.ssp.m.";0,769652650822669
"9";"B_Pmm_10.1";64;"B./P.m.ssp.m. 10";"B./P.m. 10";"o";20,9;23,8;2,71;25,6;14,155;41;33;0,878151260504202;1,24242424242424;4,24;6,9;2,82;2,7;0,614492753623188;1,50354609929078;NA;"s";"B./P.m.ssp.m.";"P.m.ssp.m.";"B";"P.m.ssp.m.";0,636792452830189
"10";"B_Pmm_10.2";64;"B./P.m.ssp.m. 10";"B./P.m. 10";"o";33,4;32,3;1,93;33;17,465;53;48;1,03405572755418;1,10416666666667;4,89;7,13;3,23;3,39;0,685834502103787;1,51393188854489;2,3;"s";"B./P.m.ssp.m.";"P.m.ssp.m.";"B";"P.m.ssp.m.";0,693251533742331
